backbone,controls,margin_thresh,momentum,decay_factor,shot_capacity,type,dataset,accuracy,latency_ms
RN50,decay_margin_momentum,5.0,0.9,0.999,3,OOD,ImageNet-A,30.91,423.64
RN50,decay_margin_momentum,5.0,0.9,0.999,3,OOD,ImageNet-V2,55.13,685.0
RN50,decay_margin_momentum,5.0,0.9,0.999,3,cross-domain,Caltech101,87.42,21.95
RN50,decay_margin_momentum,5.0,0.9,0.999,3,cross-domain,DTD,42.2,21.62
RN50,decay_margin_momentum,5.0,0.9,0.999,3,cross-domain,EuroSAT,36.95,19.44
RN50,decay_margin_momentum,5.0,0.9,0.999,3,cross-domain,FGVC-Aircraft,16.29,21.35
RN50,decay_margin_momentum,5.0,0.9,0.999,3,cross-domain,Food101,77.27,18.4
RN50,decay_margin_momentum,5.0,0.9,0.999,3,cross-domain,Flowers102,67.8,7.26
RN50,decay_margin_momentum,5.0,0.9,0.999,3,cross-domain,OxfordPets,85.09,7.04
RN50,decay_margin_momentum,5.0,0.9,0.999,3,cross-domain,StanfordCars,56.49,7.52
RN50,decay_margin_momentum,5.0,0.9,0.999,3,cross-domain,SUN397,60.82,21.7
RN50,decay_margin_momentum,5.0,0.9,0.999,3,cross-domain,UCF101,63.52,7.28
